,販売実績額
850,1632036400
851,1957614400
852,1586956600
853,1592314000
854,1930881800
855,1621662200
856,2028653800
857,1621740600
858,1629057000
859,1630821600
860,1960437800
861,1473265400
862,1623243800
863,1883741200
864,1577652200
865,1549941000
866,1539888000
867,1804245200
868,2045805800
869,2284560200
870,1594702800
871,1542850800
872,1555265600
873,1593757200
874,1571860800
875,1878973200
876,1606453600
877,1612625200
878,1863245000
879,1557722000
880,1817501400
881,1535208400
882,1806413200
883,1415928800
884,1494546200
885,1709793400
886,1497857800
887,1452520600
888,1451875200
889,1432210600
890,1661687400
891,1984733800
892,1533859400
893,1841756000
894,2094394800
895,1588235800
896,1573708400
897,1836948800
898,1551478200
899,1467805200
900,1539894800
901,1519504600
902,1749073000
903,1533961200
904,1512482800
905,1662398800
906,1508935000
907,1577928800
908,1529545000
909,1500039600
910,1474282200
911,1521116200
912,1502009600
913,1404587800
914,1470667200
915,1892957600
916,1476672600
917,1458903600
918,1701033800
919,1913308200
920,2113614000
921,2268247000
922,1963556400
923,1577908000
924,1545543400
925,1810313800
926,1522640400
927,1825692200
928,2002102400
929,1807846000
930,1563338800
931,1511643800
932,1713120200
933,1504280400
934,1531585200
935,1454480200
936,1546904000
937,1721862000
938,1530593200
939,1501173000
940,1731812800
941,1513007000
942,1560450200
943,1732938600
944,1545186200
945,1500672000
946,1520480800
947,1496779000
948,1460108600
949,1678090400
950,1863287800
951,1545254400
952,1741978000
953,1486183200
954,1505720800
955,1716608800
956,1491222400
957,1679818200
958,1457007000
959,1570336800
960,1496269600
961,1528840600
962,1522553800
963,1489384600
964,1354464600
965,1655417200
966,1475915400
967,1409799200
968,1421687600
969,1408345000
970,1420060400
971,1400643800
972,1400880800
973,1374163600
974,1368801800
975,1565375600
976,1790844200
977,1946470400
978,2102925600
979,1854649400
980,1693554800
981,1493381400
982,1484757000
983,1635769000
984,1456271400
985,1599992600
986,1340033400
987,1393529800
988,1399480800
989,1551070600
990,1378608400
991,1341666400
992,1341299000
993,1447270800
994,1747901000
995,1869362600
996,1684972000
997,1800153600
998,1686394600
999,1500691600
1000,1717617200
1001,1726454600
1002,1574897000
1003,1680526400
1004,1369935200
1005,1428900000
1006,1495973000
1007,1456461200
1008,1464056000
1009,1624883600
1010,1680653400
1011,1481490000
1012,1456323000
1013,1447123400
1014,1672281600
1015,1824051400
1016,1563623000
1017,1724987000
1018,1434682000
1019,1651583200
1020,1786647600
1021,1422225600
1022,1529357400
1023,1403969800
1024,1420305600
1025,1562780800
1026,1431759800
1027,1393401200
1028,1614308000
1029,1459019400
1030,1447392000
1031,1628741200
1032,1841451400
1033,1807528800
1034,1479999000
1035,1435488600
1036,1644210000
1037,1443611200
1038,1439459600
1039,1420365400
1040,1655782000
1041,1479343600
1042,1442538800
1043,1457522000
1044,1381584400
1045,1465063800
1046,1468080000
1047,1630339800
1048,1454237400
1049,1640372000
1050,1459812200
1051,1441773200
1052,1404260000
1053,1548977800
1054,1400225200
1055,1325796800
1056,1549077200
1057,1716303600
1058,1445618000
1059,1435143400
1060,1377083400
1061,1437670400
1062,1404961800
1063,1652712600
1064,1423673400
1065,1465188000
1066,1432326200
1067,1431965800
1068,1291825800
1069,1406191400
1070,1386933000
1071,1566706400
1072,1371515400
1073,1382304600
1074,1547014000
1075,1371476800
1076,1579230800
1077,1746870800
1078,1362494000
1079,1365728800
1080,1422243200
1081,1436915200
1082,1590521000
1083,1431143200
1084,1426828600
1085,1404205400
1086,1396953600
1087,1586408200
1088,1347083600
1089,1302855400
1090,1340472800
1091,1363992400
1092,1350596600
1093,1344244400
1094,1513143200
1095,1313766000
1096,1251795600
1097,1473814200
1098,1348325800
1099,1507076600
1100,1402666000
1101,1392372800
1102,1393278200
1103,1393084000
1104,1523161000
1105,1396293800
1106,1361246000
1107,1283022000
1108,1277658400
1109,1572153400
1110,1354664600
1111,1365553600
1112,1335408200
1113,1461806600
1114,1319092000
1115,1567704400
1116,1345498000
1117,1705685400
1118,1387175000
1119,1583005400
1120,1318813600
1121,1603818600
1122,1668174000
1123,1864632400
1124,1374811000
1125,1387036400
1126,1480269000
1127,1395047800
1128,1575899000
1129,1755490400
1130,1399323400
1131,1415993400
1132,1402122800
1133,1444739600
1134,1597543200
1135,1805583000
1136,1956583400
1137,1684042000
1138,1760938200
1139,1902717400
1140,1648291200
1141,1443386200
1142,1423665400
1143,1411375400
1144,1453742200
1145,1412992200
1146,1633310200
1147,1390071200
1148,1443631800
1149,1721261400
1150,1974011600
1151,1457019800
1152,1606972600
1153,1772894200
1154,2026951400
1155,1453490000
1156,1762215800
1157,1916453400
1158,1619946800
1159,1389759800
1160,1494168200
1161,1415509200
1162,1514209200
1163,1670119400
1164,1416774000
1165,1451155800
1166,1451613800
1167,1528998400
1168,1462161400
1169,1708244000
1170,1465032800
1171,1331466600
1172,1413684200
1173,1626255000
1174,1408207600
1175,1619045000
1176,1389864400
1177,1374910800
1178,1463372200
1179,1630866200
1180,1869055600
1181,2058236400
1182,1412426400
1183,1417983800
1184,1713369000
1185,1897707200
1186,1739905400
1187,1909422200
1188,1708881000
1189,1467499400
1190,1558541400
1191,1732789600
1192,1347900600
1193,1628090200
1194,1807846400
1195,1392855000
1196,1399975000
1197,1443440800
